Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_
Weight,1,1,1,1,1,1
Type,-1,-1,-1,-1,-1,-1
Timestep,Interval,Interval,Interval,Interval,Interval,Interval
0,1950.0,0.0,0.0,0.0,0.0,0.0
1,1951.0,0.0,0.0,0.0,0.0,0.0
2,1952.0,0.0,0.0,0.0,0.0,0.0
3,1953.0,0.0,0.0,0.0,0.0,0.0
4,1954.0,0.0,0.0,0.0,0.0,0.0
5,1955.0,0.0,0.0,0.0,0.0,0.0
6,1956.0,0.0,0.0,0.0,0.0,0.0
7,1957.0,0.0,0.0,0.0,0.0,0.0
8,1958.0,0.0,0.0,0.0,0.0,0.0
9,1959.0,0.0,0.0,0.0,0.0,0.0
10,1960.0,0.0,0.0,0.0,0.0,0.0
11,1961.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0
12,1962.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05
13,1963.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0
14,1964.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05
15,1965.0,0.0,0.0,4.6666666666666665e-05,3.3333333333333337e-06,0.0
16,1966.0,0.0,0.0,3.0833333333333335e-05,1.0833333333333332e-05,1e-05
17,1967.0,0.0,0.0,5.750000000000001e-05,1.5833333333333333e-05,0.0
18,1968.0,1.3333333333333335e-05,1.6666666666666669e-06,9.083333333333334e-05,8.333333333333334e-06,2.8333333333333335e-05
19,1969.0,2.8333333333333335e-05,0.0,0.00017583333333333332,1.3333333333333332e-05,0.0
20,1970.0,5e-06,5.833333333333333e-05,0.00020416666666666665,3.8333333333333334e-05,3.0833333333333335e-05
21,1971.0,2.8333333333333332e-05,9.666666666666667e-05,0.00013083333333333333,1.1666666666666666e-05,0.0
22,1972.0,4.666666666666667e-05,0.00014583333333333335,0.00010333333333333333,8.333333333333334e-06,4.333333333333334e-05
23,1973.0,4.333333333333334e-05,8.5e-05,0.00015416666666666666,2.5833333333333332e-05,0.0
24,1974.0,3.75e-05,6.666666666666667e-05,0.00016,4.916666666666667e-05,5.083333333333334e-05
25,1975.0,1.3333333333333332e-05,0.000135,0.00019083333333333333,4.25e-05,0.0
26,1976.0,7.666666666666667e-05,9.999999999999999e-05,0.0001683333333333333,4.5e-05,5.7499999999999995e-05
27,1977.0,9.75e-05,0.00030333333333333335,0.00016333333333333334,7.75e-05,0.0
28,1978.0,0.00021083333333333335,0.0003691666666666667,0.00014000000000000001,4.0833333333333334e-05,6.916666666666666e-05
29,1979.0,0.0001646153846153846,0.00024461538461538463,0.0001323076923076923,4.538461538461539e-05,0.0
30,1980.0,0.0002953846153846154,0.0006246153846153847,0.00021384615384615385,4.9230769230769225e-05,5.3076923076923076e-05
31,1981.0,0.00040416666666666666,0.0006583333333333333,0.00031583333333333333,7.166666666666667e-05,5e-06
32,1982.0,0.00031,0.0011061538461538461,0.00025692307692307695,4.3076923076923084e-05,5.923076923076924e-05
33,1983.0,0.0004592307692307692,0.0012592307692307692,0.0005200000000000001,5.769230769230769e-05,7.692307692307693e-07
34,1984.0,0.000533076923076923,0.001386923076923077,0.0004838461538461538,5.384615384615385e-05,4.538461538461539e-05
35,1985.0,0.0006608333333333333,0.002755,0.0004516666666666667,6.916666666666666e-05,0.0
36,1986.0,0.0008523076923076922,0.001966153846153846,0.0004346153846153846,2.846153846153846e-05,5.0769230769230766e-05
37,1987.0,0.0011376923076923079,0.00175,0.0005461538461538462,3.76923076923077e-05,1.6923076923076924e-05
38,1988.0,0.0014107692307692306,0.0015215384615384615,0.00053,6e-05,8.846153846153847e-05
39,1989.0,0.0013638461538461539,0.0015384615384615385,0.0005761538461538461,5.153846153846154e-05,9.23076923076923e-06
40,1990.0,0.0012753846153846155,0.0017730769230769228,0.0005161538461538461,8.461538461538461e-05,9.999999999999999e-05
41,1991.0,0.0014084615384615386,0.0017646153846153844,0.0005392307692307693,6.461538461538462e-05,1.7692307692307694e-05
42,1992.0,0.001166153846153846,0.0018453846153846155,0.0005115384615384615,0.00011846153846153845,8.615384615384617e-05
43,1993.0,0.001106923076923077,0.001643846153846154,0.0006153846153846154,0.00010999999999999999,1.3846153846153847e-05
44,1994.0,0.0009661538461538462,0.0017761538461538461,0.0005946153846153845,9.923076923076922e-05,5.692307692307692e-05
45,1995.0,0.0011325,0.0019,0.0006041666666666666,9.083333333333334e-05,1.4166666666666668e-05
46,1996.0,0.0009358333333333333,0.001915,0.0006508333333333332,6.333333333333333e-05,7.5e-05
47,1997.0,0.0010776923076923077,0.0016307692307692308,0.00041384615384615386,0.0001346153846153846,2.1538461538461535e-05
48,1998.0,0.0008992307692307691,0.0015899999999999998,0.0005461538461538462,4.769230769230769e-05,8.153846153846153e-05
49,1999.0,0.0010984615384615384,0.0016792307692307692,0.0004884615384615384,9.538461538461538e-05,1.153846153846154e-05
50,2000.0,0.0012741666666666667,0.0021216666666666667,0.000485,0.00015166666666666668,5.7499999999999995e-05
51,2001.0,0.0011025,0.002231666666666667,0.0004541666666666667,0.00011999999999999999,1.4166666666666666e-05
52,2002.0,0.0012507692307692309,0.001929230769230769,0.000543076923076923,0.00011153846153846154,5.846153846153847e-05
53,2003.0,0.0011683333333333333,0.0019391666666666665,0.0005625,0.00020833333333333335,1.7500000000000002e-05
54,2004.0,0.0010723076923076923,0.0014053846153846154,0.00036769230769230764,0.0001430769230769231,4.230769230769231e-05
55,2005.0,0.0009869230769230769,0.0015453846153846154,0.0004376923076923077,0.00014615384615384615,1.153846153846154e-05
56,2006.0,0.00091,0.0011292307692307693,0.0003176923076923077,0.00015307692307692307,5.846153846153847e-05
57,2007.0,0.0009153846153846153,0.0009884615384615385,0.0004107692307692308,0.0001076923076923077,1.3846153846153847e-05
58,2008.0,0.0007976923076923077,0.001063076923076923,0.00026076923076923076,7.538461538461539e-05,0.00011307692307692308
59,2009.0,0.0007584615384615384,0.0011576923076923077,0.0001830769230769231,4.538461538461539e-05,2.4615384615384616e-05
60,2010.0,0.0008333333333333334,0.0015575,0.00017666666666666666,8e-05,4.916666666666667e-05
61,2011.0,0.0006776923076923078,0.0014646153846153845,0.00014076923076923074,0.00012384615384615385,2.3076923076923076e-05
62,2012.0,0.0007538461538461538,0.00116,0.0002646153846153846,8.923076923076924e-05,3.538461538461539e-05
63,2013.0,0.0006107692307692307,0.001003846153846154,0.00032153846153846154,5.0769230769230766e-05,1.9999999999999998e-05
64,2014.0,0.0004861538461538462,0.0010092307692307692,0.0002815384615384615,7.692307692307693e-05,3.538461538461539e-05
65,2015.0,0.0006374999999999999,0.0008700000000000001,0.00018999999999999998,8.25e-05,1.1666666666666668e-05
66,2016.0,0.00033249999999999995,0.00023083333333333332,0.00011250000000000001,2.0833333333333333e-05,8.333333333333334e-06
67,2017.0,0.0,0.0,0.0,0.0,0.0
68,2018.0,0.0,0.0,0.0,0.0,0.0
69,2019.0,0.0,0.0,0.0,0.0,0.0
